Request - <HttpResponse status_code=200, "text/html; charset=utf-8">, execution time - 0:00:00.412361, IP - 127.0.0.1
Request - <HttpResponse status_code=200, "text/html; charset=utf-8">, execution time - 0:00:00.091328, IP - 127.0.0.1
Request - <HttpResponse status_code=200, "text/html; charset=utf-8">, execution time - 0:00:00.026820, IP - 127.0.0.1
Request - <HttpResponse status_code=200, "text/html; charset=utf-8">, execution time - 0:00:00.071491, IP - 127.0.0.1
Request - <HttpResponse status_code=200, "text/html; charset=utf-8">, execution time - 0:00:00.020942, IP - 127.0.0.1
Request - <HttpResponse status_code=200, "text/html; charset=utf-8">, execution time - 0:00:00.044926, IP - 127.0.0.1
Request - <HttpResponse status_code=500, "text/html">, execution time - 0:00:00.520629, IP - 127.0.0.1
Request - <HttpResponse status_code=200, "text/html; charset=utf-8">, execution time - 0:00:00.043861, IP - 127.0.0.1
Request - <HttpResponse status_code=200, "text/html; charset=utf-8">, execution time - 0:00:00.042431, IP - 127.0.0.1
Request - <HttpResponse status_code=200, "text/html; charset=utf-8">, execution time - 0:00:00.069654, IP - 127.0.0.1
Request - <HttpResponse status_code=200, "text/html; charset=utf-8">, execution time - 0:00:00.067826, IP - 127.0.0.1
Request - <HttpResponseRedirect status_code=302, "text/html; charset=utf-8", url="/">, execution time - 0:00:00.136516, IP - 127.0.0.1
Request - <HttpResponse status_code=200, "text/html; charset=utf-8">, execution time - 0:00:00.009558, IP - 127.0.0.1
Request - <HttpResponse status_code=200, "text/html; charset=utf-8">, execution time - 0:00:00.131844, IP - 127.0.0.1
Request - <HttpResponse status_code=200, "text/html; charset=utf-8">, execution time - 0:00:00.068465, IP - 127.0.0.1
Request - <HttpResponse status_code=200, "text/html; charset=utf-8">, execution time - 0:00:00.069287, IP - 127.0.0.1
Request - <HttpResponse status_code=200, "text/html; charset=utf-8">, execution time - 0:00:00.074210, IP - 127.0.0.1
Request - <HttpResponseNotFound status_code=404, "text/html">, execution time - 0:00:00.023697, IP - 127.0.0.1
Request - <HttpResponse status_code=200, "text/html; charset=utf-8">, execution time - 0:00:00.014266, IP - 127.0.0.1
Request - <HttpResponse status_code=200, "text/html; charset=utf-8">, execution time - 0:00:00.006834, IP - 127.0.0.1
Request - <HttpResponse status_code=200, "text/html; charset=utf-8">, execution time - 0:00:00.021644, IP - 127.0.0.1
Request - <HttpResponse status_code=200, "text/html; charset=utf-8">, execution time - 0:00:00.084802, IP - 127.0.0.1
Request - <HttpResponse status_code=200, "text/html; charset=utf-8">, execution time - 0:00:00.078735, IP - 127.0.0.1
Request - <HttpResponse status_code=200, "text/html; charset=utf-8">, execution time - 0:00:00.074487, IP - 127.0.0.1
Request - <HttpResponse status_code=200, "text/html; charset=utf-8">, execution time - 0:00:00.067879, IP - 127.0.0.1
Request - <HttpResponse status_code=200, "text/html; charset=utf-8">, execution time - 0:00:00.077791, IP - 127.0.0.1
Request - <HttpResponse status_code=200, "text/html; charset=utf-8">, execution time - 0:00:00.014652, IP - 127.0.0.1
Request - <HttpResponse status_code=200, "text/html; charset=utf-8">, execution time - 0:00:00.016437, IP - 127.0.0.1
Request - <HttpResponse status_code=200, "text/html; charset=utf-8">, execution time - 0:00:00.013330, IP - 127.0.0.1
Request - <HttpResponse status_code=200, "text/html; charset=utf-8">, execution time - 0:00:00.006022, IP - 127.0.0.1
Request - <HttpResponse status_code=200, "text/html; charset=utf-8">, execution time - 0:00:00.009188, IP - 127.0.0.1
Request - <HttpResponse status_code=200, "text/html; charset=utf-8">, execution time - 0:00:00.075559, IP - 127.0.0.1
Request - <HttpResponse status_code=200, "text/html; charset=utf-8">, execution time - 0:00:00.024602, IP - 127.0.0.1
Request - <HttpResponse status_code=200, "text/html; charset=utf-8">, execution time - 0:00:00.083484, IP - 127.0.0.1
Request - <HttpResponse status_code=200, "text/html; charset=utf-8">, execution time - 0:00:00.021797, IP - 127.0.0.1
Request - <HttpResponse status_code=200, "text/html; charset=utf-8">, execution time - 0:00:00.124107, IP - 127.0.0.1
Request - <HttpResponse status_code=200, "text/html; charset=utf-8">, execution time - 0:00:00.386387, IP - 127.0.0.1
Request - <HttpResponse status_code=200, "text/html; charset=utf-8">, execution time - 0:00:00.068229, IP - 127.0.0.1
Request - <HttpResponseRedirect status_code=302, "text/html; charset=utf-8", url="/">, execution time - 0:00:00.188480, IP - 127.0.0.1
Request - <HttpResponse status_code=200, "text/html; charset=utf-8">, execution time - 0:00:00.019410, IP - 127.0.0.1
Request - <HttpResponsePermanentRedirect status_code=301, "text/html; charset=utf-8", url="/admin/">, execution time - 0:00:00.003724, IP - 127.0.0.1
Request - <HttpResponseRedirect status_code=302, "text/html; charset=utf-8", url="/admin/login/?next=/admin/">, execution time - 0:00:00.098400, IP - 127.0.0.1
Request - <TemplateResponse status_code=200, "text/html; charset=utf-8">, execution time - 0:00:00.255354, IP - 127.0.0.1
Request - <HttpResponse status_code=200, "text/html; charset=utf-8">, execution time - 0:00:00.062499, IP - 127.0.0.1
Request - <HttpResponseRedirect status_code=302, "text/html; charset=utf-8", url="/">, execution time - 0:00:00.137510, IP - 127.0.0.1
Request - <HttpResponse status_code=200, "text/html; charset=utf-8">, execution time - 0:00:00.010189, IP - 127.0.0.1
Request - <HttpResponseRedirect status_code=302, "text/html; charset=utf-8", url="/admin/login/?next=/admin/">, execution time - 0:00:00.003248, IP - 127.0.0.1
Request - <TemplateResponse status_code=200, "text/html; charset=utf-8">, execution time - 0:00:00.057627, IP - 127.0.0.1
Request - <HttpResponse status_code=500, "text/html">, execution time - 0:00:01.605502, IP - 127.0.0.1
Request - <HttpResponse status_code=500, "text/html">, execution time - 0:00:00.470872, IP - 127.0.0.1
Request - <HttpResponse status_code=500, "text/html">, execution time - 0:00:00.486926, IP - 127.0.0.1
Request - <HttpResponse status_code=500, "text/html">, execution time - 0:00:00.429576, IP - 127.0.0.1
Request - <HttpResponse status_code=500, "text/html">, execution time - 0:00:00.774334, IP - 127.0.0.1
Request - <HttpResponse status_code=500, "text/html">, execution time - 0:00:00.795903, IP - 127.0.0.1
Request - <HttpResponse status_code=200, "text/html; charset=utf-8">, execution time - 0:00:00.060912, IP - 127.0.0.1
Request - <HttpResponse status_code=500, "text/html">, execution time - 0:00:00.553574, IP - 127.0.0.1
Request - <HttpResponse status_code=200, "text/html; charset=utf-8">, execution time - 0:00:00.059314, IP - 127.0.0.1
Request - <HttpResponse status_code=200, "text/html; charset=utf-8">, execution time - 0:00:00.024234, IP - 127.0.0.1
Request - <HttpResponseRedirect status_code=302, "text/html; charset=utf-8", url="/admin/login/?next=/admin/">, execution time - 0:00:00.043991, IP - 127.0.0.1
Request - <TemplateResponse status_code=200, "text/html; charset=utf-8">, execution time - 0:00:00.138549, IP - 127.0.0.1
Request - <HttpResponseRedirect status_code=302, "text/html; charset=utf-8", url="/admin/">, execution time - 0:00:00.469431, IP - 127.0.0.1
Request - <TemplateResponse status_code=200, "text/html; charset=utf-8">, execution time - 0:00:00.115449, IP - 127.0.0.1
Request - <TemplateResponse status_code=200, "text/html; charset=utf-8">, execution time - 0:00:00.555370, IP - 127.0.0.1
Request - <HttpResponse status_code=200, "text/javascript">, execution time - 0:00:00.171023, IP - 127.0.0.1
Request - <TemplateResponse status_code=200, "text/html; charset=utf-8">, execution time - 0:00:00.068907, IP - 127.0.0.1
Request - <TemplateResponse status_code=200, "text/html; charset=utf-8">, execution time - 0:00:00.102582, IP - 127.0.0.1
Request - <HttpResponse status_code=200, "text/javascript">, execution time - 0:00:00.016172, IP - 127.0.0.1
Request - <TemplateResponse status_code=200, "text/html; charset=utf-8">, execution time - 0:00:00.062586, IP - 127.0.0.1
Request - <TemplateResponse status_code=200, "text/html; charset=utf-8">, execution time - 0:00:00.286889, IP - 127.0.0.1
Request - <HttpResponse status_code=200, "text/javascript">, execution time - 0:00:00.017686, IP - 127.0.0.1
Request - <TemplateResponse status_code=200, "text/html; charset=utf-8">, execution time - 0:00:00.490017, IP - 127.0.0.1
Request - <HttpResponse status_code=200, "text/javascript">, execution time - 0:00:00.023127, IP - 127.0.0.1
Request - <TemplateResponse status_code=200, "text/html; charset=utf-8">, execution time - 0:00:00.300411, IP - 127.0.0.1
Request - <HttpResponse status_code=500, "text/html">, execution time - 0:00:00.966525, IP - 127.0.0.1
Request - <HttpResponse status_code=500, "text/html">, execution time - 0:00:01.075381, IP - 127.0.0.1
Request - <HttpResponse status_code=500, "text/html">, execution time - 0:00:00.788570, IP - 127.0.0.1
Request - <HttpResponse status_code=500, "text/html">, execution time - 0:00:00.496388, IP - 127.0.0.1
Request - <HttpResponse status_code=500, "text/html">, execution time - 0:00:02.571270, IP - 127.0.0.1
Request - <HttpResponse status_code=500, "text/html">, execution time - 0:00:02.808016, IP - 127.0.0.1
Request - <HttpResponse status_code=500, "text/html">, execution time - 0:00:01.304901, IP - 127.0.0.1
